City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Texiguat,HN,13.6497,-87.0225,87.96,46,94,1.43,overcast clouds
298,Kencong,ID,-8.2833,113.3667,77.02,89,96,2.55,overcast clouds
299,Yerbogachen,RU,61.2767,108.0108,21.51,93,61,3.02,broken clouds
300,Hadejia,NG,12.4498,10.0444,100.6,16,58,8.03,broken clouds
301,Quang Ngai,VN,15.1167,108.8,74.61,99,100,7.76,overcast clouds
302,Port Blair,IN,11.6667,92.75,83.57,73,57,4.05,broken clouds
303,Savannah Bight,HN,16.45,-85.85,82.08,75,97,16.64,overcast clouds
304,Poya,NC,-21.35,165.15,72.7,90,6,3.09,clear sky
305,Nouadhibou,MR,20.931,-17.0347,71.58,73,0,21.85,dust
306,Samarai,PG,-10.6167,150.6667,79.92,82,49,9.91,scattered clouds
307,Jalu,LY,29.0331,21.5482,94.5,13,86,13.35,overcast clouds
308,Alugan,PH,12.2188,125.4808,79.2,85,88,6.89,overcast clouds
309,Kamenka,RU,51.3223,42.7678,42.89,50,51,5.68,broken clouds
310,Omidiyeh,IR,30.7597,49.705,84.07,42,0,6.91,clear sky
311,Liuhe,CN,42.2401,125.7172,34.57,74,18,1.88,few clouds
312,Sitka,US,57.0531,-135.33,48.09,61,100,17.27,overcast clouds
313,Cacoal,BR,-11.4386,-61.4472,84.09,73,62,2.71,broken clouds
314,Tromso,NO,69.6496,18.957,37.38,86,75,5.75,broken clouds
315,Krivosheino,RU,57.3431,83.9261,40.73,61,100,11.68,overcast clouds
316,Arlit,NE,18.7369,7.3853,101.84,8,23,15.82,few clouds
317,Monticello,US,45.3055,-93.7941,46.98,89,100,11.5,light rain
318,Bridlington,GB,54.0831,-0.1919,57.88,88,99,5.84,overcast clouds
319,Aswan,EG,24.0934,32.907,91.76,8,0,9.26,clear sky
320,Amberieu-En-Bugey,FR,45.9589,5.3432,65.66,56,43,8.84,scattered clouds
321,Simplicio Mendes,BR,-7.8539,-41.9103,96.39,24,24,7.18,few clouds
322,Garowe,SO,8.4054,48.4845,89.44,42,99,15.88,overcast clouds
323,Cassilandia,BR,-19.1133,-51.7342,90.48,24,0,6.76,clear sky
324,Hasaki,JP,35.7333,140.8333,52.29,80,100,21.81,overcast clouds
325,Alberdi,AR,-32.8899,-60.6906,68.92,45,0,8.05,clear sky
326,Yushala,RU,57.0761,64.2601,43.99,74,100,6.11,light rain
327,Polis,CY,35.0367,32.4264,66.29,80,0,3.2,clear sky
328,Emilio Carranza,MX,19.9711,-96.6114,87.1,64,7,9.86,clear sky
329,La Rioja,ES,42.25,-2.5,64.18,58,83,9.04,broken clouds
330,Cayenne,GF,4.9333,-52.3333,86.04,47,0,17.27,clear sky
331,Tekeli,KZ,44.83,78.8239,60.13,44,99,10.67,overcast clouds
332,Antalaha,MG,-14.9003,50.2788,76.53,88,22,5.5,few clouds
333,Darhan,MN,49.4867,105.9228,59.61,29,99,5.46,overcast clouds
334,Palauig,PH,15.435,119.9045,81.68,76,100,4.43,overcast clouds
335,Mujiayingzi,CN,42.1167,118.7833,44.87,27,89,1.32,overcast clouds
336,Lucapa,AO,-8.4192,20.7447,71.4,72,68,4.09,broken clouds
337,Dustlik,UZ,40.5247,68.0358,80.2,41,92,10.74,overcast clouds
338,Vardo,NO,70.3705,31.1107,21.18,79,40,6.91,scattered clouds
339,Banda Aceh,ID,5.5577,95.3222,81.03,80,97,14.61,overcast clouds
340,Maun,BW,-19.9833,23.4167,73.81,32,63,6.46,broken clouds
341,Katsuura,JP,35.1333,140.3,53.82,88,100,16.78,overcast clouds
342,Riberalta,BO,-10.9833,-66.1,89.8,58,40,5.75,scattered clouds
343,Fernley,US,39.608,-119.2518,53.67,42,18,7.0,few clouds
344,Lianran,CN,24.9227,102.485,43.34,82,99,7.72,overcast clouds
345,Palmer,US,42.1584,-72.3287,67.91,29,20,4.0,few clouds
346,Mahanje,TZ,-9.9333,35.3333,64.94,92,85,0.38,light rain
